Pol Year,Issue Age,Prem Term,Value
97,3,25,760
98,3,25,770
99,3,25,780
100,3,25,790
101,3,25,800
102,3,25,810
103,3,25,820
104,3,25,830
105,3,25,840
106,3,25,850
107,3,25,860
108,3,25,870
109,3,25,880
110,3,25,890
111,3,25,900
112,3,25,910
113,3,25,920
114,3,25,930
115,3,25,940
116,3,25,950
117,3,25,960
118,3,25,970
119,3,25,980
120,3,25,1000
1,4,25,0
2,4,25,0
3,4,25,0
4,4,25,0
5,4,25,0
6,4,25,10
7,4,25,15
8,4,25,20
9,4,25,25
10,4,25,30
11,4,25,35
12,4,25,40
13,4,25,45
14,4,25,50
15,4,25,55
16,4,25,60
17,4,25,65
18,4,25,70
19,4,25,75
20,4,25,80
21,4,25,85
22,4,25,90
23,4,25,95
24,4,25,100
25,4,25,105
26,4,25,110
27,4,25,115
28,4,25,120
29,4,25,125
30,4,25,130
31,4,25,135
32,4,25,140
33,4,25,145
34,4,25,150
35,4,25,155
36,4,25,160
37,4,25,165
38,4,25,170
39,4,25,180
40,4,25,190
41,4,25,200
42,4,25,210
43,4,25,220
44,4,25,230
45,4,25,240
46,4,25,250
47,4,25,260
48,4,25,270
49,4,25,280
50,4,25,290
51,4,25,300
52,4,25,310
53,4,25,320
54,4,25,330
55,4,25,340
56,4,25,350
57,4,25,360
58,4,25,370
59,4,25,380
60,4,25,390
61,4,25,400
62,4,25,410
63,4,25,420
64,4,25,430
65,4,25,440
66,4,25,450
67,4,25,460
68,4,25,470
69,4,25,480
70,4,25,490
71,4,25,500
72,4,25,510
73,4,25,520
74,4,25,530
75,4,25,540
76,4,25,550
77,4,25,560
78,4,25,570
79,4,25,580
80,4,25,590
81,4,25,600
82,4,25,610
83,4,25,620
84,4,25,630
85,4,25,640
86,4,25,650
87,4,25,660
88,4,25,670
89,4,25,680
90,4,25,690
91,4,25,700
92,4,25,710
93,4,25,720
94,4,25,730
95,4,25,740
96,4,25,750
97,4,25,760
98,4,25,770
99,4,25,780
100,4,25,790
101,4,25,800
102,4,25,810
103,4,25,820
104,4,25,830
105,4,25,840
106,4,25,850
107,4,25,860
108,4,25,870
109,4,25,880
110,4,25,890
111,4,25,900
112,4,25,910
113,4,25,920
114,4,25,930
115,4,25,940
116,4,25,950
117,4,25,960
118,4,25,970
119,4,25,980
120,4,25,1000
1,5,25,0
2,5,25,0
3,5,25,0
4,5,25,0
5,5,25,0
6,5,25,10
7,5,25,15
8,5,25,20
9,5,25,25
10,5,25,30
11,5,25,35
12,5,25,40
13,5,25,45
14,5,25,50
15,5,25,55
16,5,25,60
17,5,25,65
18,5,25,70
19,5,25,75
20,5,25,80
21,5,25,85
22,5,25,90
23,5,25,95
24,5,25,100
25,5,25,105
26,5,25,110
27,5,25,115
28,5,25,120
29,5,25,125
30,5,25,130
31,5,25,135
32,5,25,140
33,5,25,145
34,5,25,150
35,5,25,155
36,5,25,160
37,5,25,165
38,5,25,170
39,5,25,180
40,5,25,190
41,5,25,200
42,5,25,210
43,5,25,220
44,5,25,230
45,5,25,240
46,5,25,250
47,5,25,260
48,5,25,270
49,5,25,280
50,5,25,290
51,5,25,300
52,5,25,310
53,5,25,320
54,5,25,330
55,5,25,340
56,5,25,350
57,5,25,360
58,5,25,370
59,5,25,380
60,5,25,390
61,5,25,400
62,5,25,410
63,5,25,420
64,5,25,430
65,5,25,440
66,5,25,450
67,5,25,460
68,5,25,470
69,5,25,480
70,5,25,490
71,5,25,500
72,5,25,510
73,5,25,520
74,5,25,530
75,5,25,540
76,5,25,550
77,5,25,560
78,5,25,570
79,5,25,580
80,5,25,590
81,5,25,600
82,5,25,610
83,5,25,620
84,5,25,630
85,5,25,640
86,5,25,650
87,5,25,660
88,5,25,670
89,5,25,680
90,5,25,690
91,5,25,700
92,5,25,710
93,5,25,720
94,5,25,730
95,5,25,740
96,5,25,750
97,5,25,760
98,5,25,770
99,5,25,780
100,5,25,790
101,5,25,800
102,5,25,810
103,5,25,820
104,5,25,830
105,5,25,840
106,5,25,850
107,5,25,860
108,5,25,870
109,5,25,880
110,5,25,890
111,5,25,900
112,5,25,910
113,5,25,920
114,5,25,930
115,5,25,940
116,5,25,950
117,5,25,960
118,5,25,970
119,5,25,980
120,5,25,1000
1,6,25,0
2,6,25,0
3,6,25,0
4,6,25,0
5,6,25,0
6,6,25,10
7,6,25,15
8,6,25,20
9,6,25,25
10,6,25,30
11,6,25,35
12,6,25,40
13,6,25,45
14,6,25,50
15,6,25,55
16,6,25,60
17,6,25,65
18,6,25,70
19,6,25,75
20,6,25,80
21,6,25,85
22,6,25,90
23,6,25,95
24,6,25,100
25,6,25,105
26,6,25,110
27,6,25,115
28,6,25,120
29,6,25,125
30,6,25,130
31,6,25,135
32,6,25,140
33,6,25,145
34,6,25,150
35,6,25,155
36,6,25,160
37,6,25,165
38,6,25,170
39,6,25,180
40,6,25,190
41,6,25,200
42,6,25,210
43,6,25,220
44,6,25,230
45,6,25,240
46,6,25,250
47,6,25,260
48,6,25,270
49,6,25,280
50,6,25,290
51,6,25,300
52,6,25,310
53,6,25,320
54,6,25,330
55,6,25,340
56,6,25,350
57,6,25,360
58,6,25,370
59,6,25,380
60,6,25,390
61,6,25,400
62,6,25,410
63,6,25,420
64,6,25,430
65,6,25,440
66,6,25,450
67,6,25,460
68,6,25,470
69,6,25,480
70,6,25,490
71,6,25,500
72,6,25,510
73,6,25,520
74,6,25,530
75,6,25,540
76,6,25,550
77,6,25,560
78,6,25,570
79,6,25,580
80,6,25,590
81,6,25,600
82,6,25,610
83,6,25,620
84,6,25,630
85,6,25,640
86,6,25,650
87,6,25,660
88,6,25,670
89,6,25,680
90,6,25,690
91,6,25,700
92,6,25,710
93,6,25,720
94,6,25,730
95,6,25,740
96,6,25,750
97,6,25,760
98,6,25,770
99,6,25,780
100,6,25,790
101,6,25,800
102,6,25,810
103,6,25,820
104,6,25,830
105,6,25,840
106,6,25,850
107,6,25,860
108,6,25,870
109,6,25,880
110,6,25,890
111,6,25,900
112,6,25,910
113,6,25,920
114,6,25,930
115,6,25,940
116,6,25,950
117,6,25,960
118,6,25,970
119,6,25,980
120,6,25,1000
1,7,25,0
2,7,25,0
3,7,25,0
4,7,25,0
5,7,25,0
6,7,25,10
7,7,25,15
8,7,25,20
9,7,25,25
10,7,25,30
11,7,25,35
12,7,25,40
13,7,25,45
14,7,25,50
15,7,25,55
16,7,25,60
17,7,25,65
18,7,25,70
19,7,25,75
20,7,25,80
21,7,25,85
22,7,25,90
23,7,25,95
24,7,25,100
25,7,25,105
26,7,25,110
27,7,25,115
28,7,25,120
29,7,25,125
30,7,25,130
31,7,25,135
32,7,25,140
33,7,25,145
34,7,25,150
35,7,25,155
36,7,25,160
37,7,25,165
38,7,25,170
39,7,25,180
40,7,25,190
41,7,25,200
42,7,25,210
43,7,25,220
44,7,25,230
45,7,25,240
46,7,25,250
47,7,25,260
48,7,25,270
49,7,25,280
50,7,25,290
51,7,25,300
52,7,25,310
53,7,25,320
54,7,25,330
55,7,25,340
56,7,25,350
57,7,25,360
58,7,25,370
59,7,25,380
60,7,25,390
61,7,25,400
62,7,25,410
63,7,25,420
64,7,25,430
65,7,25,440
66,7,25,450
67,7,25,460
68,7,25,470
69,7,25,480
70,7,25,490
71,7,25,500
72,7,25,510
73,7,25,520
74,7,25,530
75,7,25,540
76,7,25,550
77,7,25,560
78,7,25,570
79,7,25,580
80,7,25,590
81,7,25,600
82,7,25,610
83,7,25,620
84,7,25,630
85,7,25,640
86,7,25,650
87,7,25,660
88,7,25,670
89,7,25,680
90,7,25,690
91,7,25,700
92,7,25,710
93,7,25,720
94,7,25,730
95,7,25,740
96,7,25,750
97,7,25,760
98,7,25,770
99,7,25,780
100,7,25,790
101,7,25,800
102,7,25,810
103,7,25,820
104,7,25,830
105,7,25,840
106,7,25,850
107,7,25,860
108,7,25,870
109,7,25,880
110,7,25,890
111,7,25,900
112,7,25,910
113,7,25,920
114,7,25,930
115,7,25,940
116,7,25,950
117,7,25,960
118,7,25,970
119,7,25,980
120,7,25,1000
1,8,25,0
2,8,25,0
3,8,25,0
4,8,25,0
5,8,25,0
6,8,25,10
7,8,25,15
8,8,25,20
9,8,25,25
10,8,25,30
11,8,25,35
12,8,25,40
13,8,25,45
14,8,25,50
15,8,25,55
16,8,25,60
17,8,25,65
18,8,25,70
19,8,25,75
20,8,25,80
21,8,25,85
22,8,25,90
23,8,25,95
24,8,25,100
25,8,25,105
26,8,25,110
27,8,25,115
28,8,25,120
29,8,25,125
30,8,25,130
31,8,25,135
32,8,25,140
33,8,25,145
34,8,25,150
35,8,25,155
36,8,25,160
37,8,25,165
38,8,25,170
39,8,25,180
40,8,25,190
41,8,25,200
42,8,25,210
43,8,25,220
44,8,25,230
45,8,25,240
46,8,25,250
47,8,25,260
48,8,25,270
49,8,25,280
50,8,25,290
51,8,25,300
52,8,25,310
53,8,25,320
54,8,25,330
55,8,25,340
56,8,25,350
57,8,25,360
58,8,25,370
59,8,25,380
60,8,25,390
61,8,25,400
62,8,25,410
63,8,25,420
64,8,25,430
65,8,25,440
66,8,25,450
67,8,25,460
68,8,25,470
69,8,25,480
70,8,25,490
71,8,25,500
72,8,25,510
73,8,25,520
74,8,25,530
75,8,25,540
76,8,25,550
77,8,25,560
78,8,25,570
79,8,25,580
80,8,25,590
81,8,25,600
82,8,25,610
83,8,25,620
84,8,25,630
85,8,25,640
86,8,25,650
87,8,25,660
88,8,25,670
89,8,25,680
90,8,25,690
91,8,25,700
92,8,25,710
93,8,25,720
94,8,25,730
95,8,25,740
96,8,25,750
97,8,25,760
98,8,25,770
99,8,25,780
100,8,25,790
101,8,25,800
102,8,25,810
103,8,25,820
104,8,25,830
105,8,25,840
106,8,25,850
107,8,25,860
108,8,25,870
109,8,25,880
110,8,25,890
111,8,25,900
112,8,25,910
113,8,25,920
114,8,25,930
115,8,25,940
116,8,25,950
117,8,25,960
118,8,25,970
119,8,25,980
120,8,25,1000
1,9,25,0
2,9,25,0
3,9,25,0
4,9,25,0
5,9,25,0
6,9,25,10
7,9,25,15
8,9,25,20
9,9,25,25
10,9,25,30
11,9,25,35
12,9,25,40
13,9,25,45
14,9,25,50
15,9,25,55
16,9,25,60
17,9,25,65
18,9,25,70
19,9,25,75
20,9,25,80
21,9,25,85
22,9,25,90
23,9,25,95
24,9,25,100
25,9,25,105
26,9,25,110
27,9,25,115
28,9,25,120
29,9,25,125
30,9,25,130
31,9,25,135
32,9,25,140
33,9,25,145
34,9,25,150
35,9,25,155
36,9,25,160
37,9,25,165
38,9,25,170
39,9,25,180
40,9,25,190
41,9,25,200
42,9,25,210
43,9,25,220
44,9,25,230
45,9,25,240
46,9,25,250
47,9,25,260
48,9,25,270
49,9,25,280
50,9,25,290
51,9,25,300
52,9,25,310
53,9,25,320
54,9,25,330
55,9,25,340
56,9,25,350
57,9,25,360
58,9,25,370
59,9,25,380
60,9,25,390
61,9,25,400
62,9,25,410
63,9,25,420
64,9,25,430
65,9,25,440
66,9,25,450
67,9,25,460
68,9,25,470
69,9,25,480
70,9,25,490
71,9,25,500
72,9,25,510
73,9,25,520
74,9,25,530
75,9,25,540
76,9,25,550
77,9,25,560
78,9,25,570
79,9,25,580
80,9,25,590
81,9,25,600
82,9,25,610
83,9,25,620
84,9,25,630
85,9,25,640
86,9,25,650
87,9,25,660
88,9,25,670
89,9,25,680
90,9,25,690
91,9,25,700
92,9,25,710
93,9,25,720
94,9,25,730
95,9,25,740
96,9,25,750
97,9,25,760
98,9,25,770
99,9,25,780
100,9,25,790
101,9,25,800
102,9,25,810
103,9,25,820
104,9,25,830
105,9,25,840
106,9,25,850
107,9,25,860
108,9,25,870
109,9,25,880
110,9,25,890
111,9,25,900
112,9,25,910
113,9,25,920
114,9,25,930
115,9,25,940
116,9,25,950
117,9,25,960
118,9,25,970
119,9,25,980
120,9,25,1000
1,10,25,0
2,10,25,0
3,10,25,0
4,10,25,0
5,10,25,0
6,10,25,10
7,10,25,15
8,10,25,20
9,10,25,25
10,10,25,30
11,10,25,35
12,10,25,40
13,10,25,45
14,10,25,50
15,10,25,55
16,10,25,60
17,10,25,65
18,10,25,70
19,10,25,75
20,10,25,80
21,10,25,85
22,10,25,90
23,10,25,95
24,10,25,100
25,10,25,105
26,10,25,110
27,10,25,115
28,10,25,120
29,10,25,125
30,10,25,130
31,10,25,135
32,10,25,140
33,10,25,145
34,10,25,150
35,10,25,155
36,10,25,160
37,10,25,165
38,10,25,170
39,10,25,180
40,10,25,190
41,10,25,200
42,10,25,210
43,10,25,220
44,10,25,230
45,10,25,240
46,10,25,250
47,10,25,260
48,10,25,270
49,10,25,280
50,10,25,290
51,10,25,300
52,10,25,310
53,10,25,320
54,10,25,330
55,10,25,340
56,10,25,350
57,10,25,360
58,10,25,370
59,10,25,380
60,10,25,390
61,10,25,400
62,10,25,410
63,10,25,420
64,10,25,430
65,10,25,440
66,10,25,450
67,10,25,460
68,10,25,470
69,10,25,480
70,10,25,490
71,10,25,500
72,10,25,510
73,10,25,520
74,10,25,530
75,10,25,540
76,10,25,550
77,10,25,560
78,10,25,570
79,10,25,580
80,10,25,590
81,10,25,600
82,10,25,610
83,10,25,620
84,10,25,630
85,10,25,640
86,10,25,650
87,10,25,660
88,10,25,670
89,10,25,680
90,10,25,690
91,10,25,700
92,10,25,710
93,10,25,720
94,10,25,730
95,10,25,740
96,10,25,750
97,10,25,760
98,10,25,770
99,10,25,780
100,10,25,790
101,10,25,800
102,10,25,810
103,10,25,820
104,10,25,830
105,10,25,840
106,10,25,850
107,10,25,860
108,10,25,870
109,10,25,880
110,10,25,890
111,10,25,900
112,10,25,910
113,10,25,920
114,10,25,930
115,10,25,940
116,10,25,950
117,10,25,960
118,10,25,970
119,10,25,980
120,10,25,1000
1,11,25,0
2,11,25,0
3,11,25,0
4,11,25,0
5,11,25,0
6,11,25,10
7,11,25,15
8,11,25,20
9,11,25,25
10,11,25,30
11,11,25,35
12,11,25,40
13,11,25,45
14,11,25,50
15,11,25,55
16,11,25,60
17,11,25,65
18,11,25,70
19,11,25,75
20,11,25,80
21,11,25,85
22,11,25,90
23,11,25,95
24,11,25,100
25,11,25,105
26,11,25,110
27,11,25,115
28,11,25,120
29,11,25,125
30,11,25,130
31,11,25,135
32,11,25,140
33,11,25,145
34,11,25,150
35,11,25,155
36,11,25,160
37,11,25,165
38,11,25,170
39,11,25,180
40,11,25,190
41,11,25,200
42,11,25,210
43,11,25,220
44,11,25,230
45,11,25,240
46,11,25,250
47,11,25,260
48,11,25,270
49,11,25,280
50,11,25,290
51,11,25,300
52,11,25,310
53,11,25,320
54,11,25,330
55,11,25,340
56,11,25,350
57,11,25,360
58,11,25,370
59,11,25,380
60,11,25,390
61,11,25,400
62,11,25,410
63,11,25,420
64,11,25,430
65,11,25,440
66,11,25,450
67,11,25,460
68,11,25,470
69,11,25,480
70,11,25,490
71,11,25,500
72,11,25,510
73,11,25,520
74,11,25,530
75,11,25,540
76,11,25,550
77,11,25,560
78,11,25,570
79,11,25,580
80,11,25,590
81,11,25,600
82,11,25,610
83,11,25,620
84,11,25,630
85,11,25,640
86,11,25,650
87,11,25,660
88,11,25,670
89,11,25,680
90,11,25,690
91,11,25,700
92,11,25,710
93,11,25,720
94,11,25,730
95,11,25,740
96,11,25,750
97,11,25,760
98,11,25,770
99,11,25,780
100,11,25,790
101,11,25,800
102,11,25,810
103,11,25,820
104,11,25,830
105,11,25,840
106,11,25,850
107,11,25,860
108,11,25,870
109,11,25,880
110,11,25,890
111,11,25,900
112,11,25,910
113,11,25,920
114,11,25,930
115,11,25,940
116,11,25,950
117,11,25,960
118,11,25,970
119,11,25,980
120,11,25,1000
1,12,25,0
2,12,25,0
3,12,25,0
4,12,25,0
5,12,25,0
6,12,25,10
7,12,25,15
8,12,25,20
9,12,25,25
10,12,25,30
11,12,25,35
12,12,25,40
13,12,25,45
14,12,25,50
15,12,25,55
16,12,25,60
17,12,25,65
18,12,25,70
19,12,25,75
20,12,25,80
21,12,25,85
22,12,25,90
23,12,25,95
24,12,25,100
25,12,25,105
26,12,25,110
27,12,25,115
28,12,25,120
29,12,25,125
30,12,25,130
31,12,25,135
32,12,25,140
33,12,25,145
34,12,25,150
35,12,25,155
36,12,25,160
37,12,25,165
38,12,25,170
39,12,25,180
40,12,25,190
41,12,25,200
42,12,25,210
43,12,25,220
44,12,25,230
45,12,25,240
46,12,25,250
47,12,25,260
48,12,25,270
49,12,25,280
50,12,25,290
51,12,25,300
52,12,25,310
53,12,25,320
54,12,25,330
55,12,25,340
56,12,25,350
57,12,25,360
58,12,25,370
59,12,25,380
60,12,25,390
61,12,25,400
62,12,25,410
63,12,25,420
64,12,25,430
65,12,25,440
66,12,25,450
67,12,25,460
68,12,25,470
69,12,25,480
70,12,25,490
71,12,25,500
72,12,25,510
73,12,25,520
74,12,25,530
75,12,25,540
76,12,25,550
77,12,25,560
78,12,25,570
79,12,25,580
80,12,25,590
81,12,25,600
82,12,25,610
83,12,25,620
84,12,25,630
85,12,25,640
86,12,25,650
87,12,25,660
88,12,25,670
89,12,25,680
90,12,25,690
91,12,25,700
92,12,25,710
93,12,25,720
94,12,25,730
95,12,25,740
96,12,25,750
97,12,25,760
98,12,25,770
99,12,25,780
100,12,25,790
101,12,25,800
102,12,25,810
103,12,25,820
104,12,25,830
105,12,25,840
106,12,25,850
107,12,25,860
108,12,25,870
109,12,25,880
110,12,25,890
111,12,25,900
112,12,25,910
113,12,25,920
114,12,25,930
115,12,25,940
116,12,25,950
117,12,25,960
118,12,25,970
119,12,25,980
120,12,25,1000
1,13,25,0
2,13,25,0
3,13,25,0
4,13,25,0
5,13,25,0
6,13,25,10
7,13,25,15
8,13,25,20
9,13,25,25
10,13,25,30
11,13,25,35
12,13,25,40
13,13,25,45
14,13,25,50
15,13,25,55
16,13,25,60
17,13,25,65
18,13,25,70
19,13,25,75
20,13,25,80
21,13,25,85
22,13,25,90
23,13,25,95
24,13,25,100
25,13,25,105
26,13,25,110
27,13,25,115
28,13,25,120
29,13,25,125
30,13,25,130
31,13,25,135
32,13,25,140
33,13,25,145
34,13,25,150
35,13,25,155
36,13,25,160
37,13,25,165
38,13,25,170
39,13,25,180
40,13,25,190
41,13,25,200
42,13,25,210
43,13,25,220
44,13,25,230
45,13,25,240
46,13,25,250
47,13,25,260
48,13,25,270
49,13,25,280
50,13,25,290
51,13,25,300
52,13,25,310
53,13,25,320
54,13,25,330
55,13,25,340
56,13,25,350
57,13,25,360
58,13,25,370
59,13,25,380
60,13,25,390
61,13,25,400
62,13,25,410
63,13,25,420
64,13,25,430
65,13,25,440
66,13,25,450
67,13,25,460
68,13,25,470
69,13,25,480
70,13,25,490
71,13,25,500
72,13,25,510
73,13,25,520
74,13,25,530
75,13,25,540
76,13,25,550
77,13,25,560
78,13,25,570
79,13,25,580
80,13,25,590
81,13,25,600
82,13,25,610
83,13,25,620
84,13,25,630
85,13,25,640
86,13,25,650
87,13,25,660
88,13,25,670
89,13,25,680
90,13,25,690
91,13,25,700
92,13,25,710
93,13,25,720
94,13,25,730
95,13,25,740
96,13,25,750
97,13,25,760
98,13,25,770
99,13,25,780
100,13,25,790
101,13,25,800
102,13,25,810
103,13,25,820
104,13,25,830
105,13,25,840
106,13,25,850
107,13,25,860
108,13,25,870
109,13,25,880
110,13,25,890
111,13,25,900
112,13,25,910
113,13,25,920
114,13,25,930
115,13,25,940
116,13,25,950
117,13,25,960
118,13,25,970
119,13,25,980
120,13,25,1000
1,14,25,0
2,14,25,0
3,14,25,0
4,14,25,0
5,14,25,0
6,14,25,10
7,14,25,15
8,14,25,20
9,14,25,25
10,14,25,30
11,14,25,35
12,14,25,40
13,14,25,45
14,14,25,50
15,14,25,55
16,14,25,60
17,14,25,65
18,14,25,70
19,14,25,75
20,14,25,80
21,14,25,85
22,14,25,90
23,14,25,95
24,14,25,100
25,14,25,105
26,14,25,110
27,14,25,115
28,14,25,120
29,14,25,125
30,14,25,130
31,14,25,135
32,14,25,140
33,14,25,145
34,14,25,150
35,14,25,155
36,14,25,160
37,14,25,165
38,14,25,170
39,14,25,180
40,14,25,190
41,14,25,200
42,14,25,210
43,14,25,220
44,14,25,230
45,14,25,240
46,14,25,250
47,14,25,260
48,14,25,270
49,14,25,280
50,14,25,290
51,14,25,300
52,14,25,310
53,14,25,320
54,14,25,330
55,14,25,340
56,14,25,350
57,14,25,360
58,14,25,370
59,14,25,380
60,14,25,390
61,14,25,400
62,14,25,410
63,14,25,420
64,14,25,430
65,14,25,440
66,14,25,450
67,14,25,460
68,14,25,470
69,14,25,480
70,14,25,490
71,14,25,500
72,14,25,510
73,14,25,520
74,14,25,530
75,14,25,540
76,14,25,550
77,14,25,560
78,14,25,570
79,14,25,580
80,14,25,590
81,14,25,600
82,14,25,610
83,14,25,620
84,14,25,630
85,14,25,640
86,14,25,650
87,14,25,660
88,14,25,670
89,14,25,680
90,14,25,690
91,14,25,700
92,14,25,710
93,14,25,720
94,14,25,730
95,14,25,740
96,14,25,750
97,14,25,760
98,14,25,770
99,14,25,780
100,14,25,790
101,14,25,800
102,14,25,810
103,14,25,820
104,14,25,830
105,14,25,840
106,14,25,850
107,14,25,860
108,14,25,870
109,14,25,880
110,14,25,890
111,14,25,900
112,14,25,910
113,14,25,920
114,14,25,930
115,14,25,940
116,14,25,950
117,14,25,960
118,14,25,970
119,14,25,980
120,14,25,1000
1,15,25,0
2,15,25,0
3,15,25,0
4,15,25,0
5,15,25,0
6,15,25,10
7,15,25,15
8,15,25,20
9,15,25,25
10,15,25,30
11,15,25,35
12,15,25,40
13,15,25,45
14,15,25,50
15,15,25,55
16,15,25,60
17,15,25,65
18,15,25,70
19,15,25,75
20,15,25,80
21,15,25,85
22,15,25,90
23,15,25,95
24,15,25,100
25,15,25,105
26,15,25,110
27,15,25,115
28,15,25,120
29,15,25,125
30,15,25,130
31,15,25,135
32,15,25,140
33,15,25,145
34,15,25,150
35,15,25,155
36,15,25,160
37,15,25,165
38,15,25,170
39,15,25,180
40,15,25,190
41,15,25,200
42,15,25,210
43,15,25,220
44,15,25,230
45,15,25,240
46,15,25,250
47,15,25,260
48,15,25,270
49,15,25,280
50,15,25,290
51,15,25,300
52,15,25,310
53,15,25,320
54,15,25,330
55,15,25,340
56,15,25,350
57,15,25,360
58,15,25,370
59,15,25,380
60,15,25,390
61,15,25,400
62,15,25,410
63,15,25,420
